"District","FIPS","Year","Special Education Status","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2007-2008","Non-Special Education","Student Enrollment","Number","-9999"
"Achievement First Bridgeport Academy District","","2007-2008","Special Education","Student Enrollment","Number","-9999"
"Achievement First Bridgeport Academy District","","2008-2009","Non-Special Education","Student Enrollment","Number","147"
"Achievement First Bridgeport Academy District","","2008-2009","Special Education","Student Enrollment","Number","13"
"Achievement First Bridgeport Academy District","","2009-2010","Non-Special Education","Student Enrollment","Number","219"
"Achievement First Bridgeport Academy District","","2009-2010","Special Education","Student Enrollment","Number","19"
"Achievement First Bridgeport Academy District","","2010-2011","Non-Special Education","Student Enrollment","Number","379"
"Achievement First Bridgeport Academy District","","2010-2011","Special Education","Student Enrollment","Number","30"
"Achievement First Bridgeport Academy District","","2011-2012","Non-Special Education","Student Enrollment","Number","495"
"Achievement First Bridgeport Academy District","","2011-2012","Special Education","Student Enrollment","Number","48"
"Achievement First Bridgeport Academy District","","2012-2013","Non-Special Education","Student Enrollment","Number","645"
"Achievement First Bridgeport Academy District","","2012-2013","Special Education","Student Enrollment","Number","57"
"Achievement First Bridgeport Academy District","","2013-2014","Non-Special Education","Student Enrollment","Number","777"
"Achievement First Bridgeport Academy District","","2013-2014","Special Education","Student Enrollment","Number","58"
"Achievement First Bridgeport Academy District","","2014-2015","Non-Special Education","Student Enrollment","Number","897"
"Achievement First Bridgeport Academy District","","2014-2015","Special Education","Student Enrollment","Number","80"
"Achievement First Bridgeport Academy District","","2015-2016","Non-Special Education","Student Enrollment","Number","922"
"Achievement First Bridgeport Academy District","","2015-2016","Special Education","Student Enrollment","Number","94"
"Achievement First Bridgeport Academy District","","2016-2017","Non-Special Education","Student Enrollment","Number","955"
"Achievement First Bridgeport Academy District","","2016-2017","Special Education","Student Enrollment","Number","89"
"Achievement First Bridgeport Academy District","","2017-2018","Non-Special Education","Student Enrollment","Number","958"
"Achievement First Bridgeport Academy District","","2017-2018","Special Education","Student Enrollment","Number","104"
"Achievement First Hartford Academy District","","2007-2008","Non-Special Education","Student Enrollment","Number","-6666"
"Achievement First Hartford Academy District","","2007-2008","Special Education","Student Enrollment","Number","-6666"
"Achievement First Hartford Academy District","","2008-2009","Non-Special Education","Student Enrollment","Number","245"
"Achievement First Hartford Academy District","","2008-2009","Special Education","Student Enrollment","Number","16"
"Achievement First Hartford Academy District","","2009-2010","Non-Special Education","Student Enrollment","Number","407"
"Achievement First Hartford Academy District","","2009-2010","Special Education","Student Enrollment","Number","33"
"Achievement First Hartford Academy District","","2010-2011","Non-Special Education","Student Enrollment","Number","563"
"Achievement First Hartford Academy District","","2010-2011","Special Education","Student Enrollment","Number","47"
"Achievement First Hartford Academy District","","2011-2012","Non-Special Education","Student Enrollment","Number","714"
"Achievement First Hartford Academy District","","2011-2012","Special Education","Student Enrollment","Number","48"
"Achievement First Hartford Academy District","","2012-2013","Non-Special Education","Student Enrollment","Number","760"
"Achievement First Hartford Academy District","","2012-2013","Special Education","Student Enrollment","Number","64"
"Achievement First Hartford Academy District","","2013-2014","Non-Special Education","Student Enrollment","Number","793"
"Achievement First Hartford Academy District","","2013-2014","Special Education","Student Enrollment","Number","77"
"Achievement First Hartford Academy District","","2014-2015","Non-Special Education","Student Enrollment","Number","863"
"Achievement First Hartford Academy District","","2014-2015","Special Education","Student Enrollment","Number","91"
"Achievement First Hartford Academy District","","2015-2016","Non-Special Education","Student Enrollment","Number","948"
"Achievement First Hartford Academy District","","2015-2016","Special Education","Student Enrollment","Number","115"
"Achievement First Hartford Academy District","","2016-2017","Non-Special Education","Student Enrollment","Number","955"
"Achievement First Hartford Academy District","","2016-2017","Special Education","Student Enrollment","Number","111"
"Achievement First Hartford Academy District","","2017-2018","Non-Special Education","Student Enrollment","Number","1024"
"Achievement First Hartford Academy District","","2017-2018","Special Education","Student Enrollment","Number","125"
"Amistad Academy District","","2007-2008","Non-Special Education","Student Enrollment","Number","530"
"Amistad Academy District","","2007-2008","Special Education","Student Enrollment","Number","17"
"Amistad Academy District","","2008-2009","Non-Special Education","Student Enrollment","Number","618"
"Amistad Academy District","","2008-2009","Special Education","Student Enrollment","Number","23"
"Amistad Academy District","","2009-2010","Non-Special Education","Student Enrollment","Number","717"
"Amistad Academy District","","2009-2010","Special Education","Student Enrollment","Number","27"
"Amistad Academy District","","2010-2011","Non-Special Education","Student Enrollment","Number","767"
"Amistad Academy District","","2010-2011","Special Education","Student Enrollment","Number","45"
"Amistad Academy District","","2011-2012","Non-Special Education","Student Enrollment","Number","806"
"Amistad Academy District","","2011-2012","Special Education","Student Enrollment","Number","51"
"Amistad Academy District","","2012-2013","Non-Special Education","Student Enrollment","Number","859"
"Amistad Academy District","","2012-2013","Special Education","Student Enrollment","Number","45"
"Amistad Academy District","","2013-2014","Non-Special Education","Student Enrollment","Number","886"
"Amistad Academy District","","2013-2014","Special Education","Student Enrollment","Number","51"
"Amistad Academy District","","2014-2015","Non-Special Education","Student Enrollment","Number","934"
"Amistad Academy District","","2014-2015","Special Education","Student Enrollment","Number","50"
"Amistad Academy District","","2015-2016","Non-Special Education","Student Enrollment","Number","979"
"Amistad Academy District","","2015-2016","Special Education","Student Enrollment","Number","57"
"Amistad Academy District","","2016-2017","Non-Special Education","Student Enrollment","Number","998"
"Amistad Academy District","","2016-2017","Special Education","Student Enrollment","Number","59"
"Amistad Academy District","","2017-2018","Non-Special Education","Student Enrollment","Number","1020"
"Amistad Academy District","","2017-2018","Special Education","Student Enrollment","Number","61"
"Andover School District","","2007-2008","Non-Special Education","Student Enrollment","Number","321"
"Andover School District","","2007-2008","Special Education","Student Enrollment","Number","26"
"Andover School District","","2008-2009","Non-Special Education","Student Enrollment","Number","304"
"Andover School District","","2008-2009","Special Education","Student Enrollment","Number","30"
"Andover School District","","2009-2010","Non-Special Education","Student Enrollment","Number","308"
"Andover School District","","2009-2010","Special Education","Student Enrollment","Number","28"
"Andover School District","","2010-2011","Non-Special Education","Student Enrollment","Number","306"
"Andover School District","","2010-2011","Special Education","Student Enrollment","Number","28"
"Andover School District","","2011-2012","Non-Special Education","Student Enrollment","Number","290"
"Andover School District","","2011-2012","Special Education","Student Enrollment","Number","24"
"Andover School District","","2012-2013","Non-Special Education","Student Enrollment","Number","290"
"Andover School District","","2012-2013","Special Education","Student Enrollment","Number","25"
"Andover School District","","2013-2014","Non-Special Education","Student Enrollment","Number","277"
"Andover School District","","2013-2014","Special Education","Student Enrollment","Number","22"
"Andover School District","","2014-2015","Non-Special Education","Student Enrollment","Number","255"
"Andover School District","","2014-2015","Special Education","Student Enrollment","Number","20"
